Case,Tile,Niche,Block_Index,Length_Bin,Query_Length,rank,dist_gap,spindle_time_ms,brute_force_time_ms,speedup,retrieved,recall_at_eps_0.05,overlap_at_eps_0.05,recall_at_eps_0.1,overlap_at_eps_0.1,recall_at_eps_0.25,overlap_at_eps_0.25,Dataset
Contiguous Random,65,3,0,7-12,11,1,2.9047432312245824e-07,5.6629,23.1201,4.08,50,1,1.0,1,1.0,1,1.0,xenium_human_lung_cancer_seed1
Non-Contiguous Random,65,3,0,7-12,11,1,4.6925056531258585e-06,5.5871,22.0344,3.94,50,1,0.6515,1,0.64,1,0.641,xenium_human_lung_cancer_seed1
Contiguous Random,66,1,2,7-12,9,1,-3.376770019603015e-06,5.2061,20.6411,3.96,50,1,1.0,1,0.8571,1,0.7778,xenium_human_lung_cancer_seed1
Non-Contiguous Random,66,1,2,7-12,9,1,-2.16332693894674e-06,5.2214,20.3926,3.91,50,1,1.0,1,1.0,1,1.0,xenium_human_lung_cancer_seed1
Contiguous Random,67,2,15,7-12,12,1,1.0127128173831323e-06,7.8277,31.8436,4.07,50,1,1.0,1,1.0,1,1.0,xenium_human_lung_cancer_seed1
Non-Contiguous Random,67,2,15,7-12,12,1,-4.854343452098675e-06,10.3562,31.6606,3.06,50,1,1.0,1,1.0,1,0.9412,xenium_human_lung_cancer_seed1
Contiguous Random,68,0,17,7-12,11,1,3.134269246363175e-06,10.0212,30.5947,3.05,50,1,0.1925,1,0.0722,1,0.042,xenium_human_lung_cancer_seed1
Non-Contiguous Random,68,0,17,7-12,11,3,0.07807651907882895,9.7684,30.4918,3.12,50,1,0.2016,1,0.0798,1,0.0422,xenium_human_lung_cancer_seed1
Contiguous Random,69,1,3,7-12,7,1,5.42363883360153e-07,4.2248,18.962,4.49,50,1,1.0,1,1.0,1,1.0,xenium_human_lung_cancer_seed1
Non-Contiguous Random,69,1,3,7-12,7,1,3.312397354071628e-06,4.1375,18.898,4.57,50,1,1.0,1,1.0,1,1.0,xenium_human_lung_cancer_seed1
Contiguous Random,70,2,14,7-12,8,7,0.04487847328353434,12.0811,23.7641,1.97,50,1,0.1463,1,0.1462,1,0.0521,xenium_human_lung_cancer_seed1
Non-Contiguous Random,70,2,14,7-12,8,6,0.07209268017796222,7.689,23.5795,3.07,50,1,0.2308,1,0.2222,1,0.0736,xenium_human_lung_cancer_seed1
Contiguous Random,71,1,9,7-12,12,1,2.314442609896439e-06,8.4673,30.7483,3.63,50,1,1.0,1,1.0,1,1.0,xenium_human_lung_cancer_seed1
Non-Contiguous Random,71,1,9,7-12,12,1,-4.836704210031684e-06,8.2989,30.9715,3.73,50,1,1.0,1,1.0,1,1.0,xenium_human_lung_cancer_seed1
Contiguous Random,72,3,17,7-12,11,1,-4.742764336040928e-06,8.3232,30.4298,3.66,50,1,0.1111,1,0.1047,1,0.0494,xenium_human_lung_cancer_seed1
Non-Contiguous Random,72,3,17,7-12,11,2,0.02700296136129854,8.0519,30.8377,3.83,50,1,0.5455,1,0.3488,1,0.0983,xenium_human_lung_cancer_seed1
Contiguous Random,73,1,8,7-12,10,1,-2.735428826783348e-06,6.9952,25.9676,3.71,50,1,1.0,1,1.0,1,1.0,xenium_human_lung_cancer_seed1
Non-Contiguous Random,73,1,8,7-12,10,1,-1.50961627853885e-06,7.5589,25.8221,3.42,50,1,1.0,1,1.0,1,1.0,xenium_human_lung_cancer_seed1
Contiguous Random,74,3,9,7-12,10,1,8.94563373043944e-07,7.5511,26.0797,3.45,50,1,1.0,1,1.0,1,1.0,xenium_human_lung_cancer_seed1
