Case,Tile,Niche,Block_Index,Length_Bin,Query_Length,rank,dist_gap,spindle_time_ms,brute_force_time_ms,speedup,retrieved,recall_at_eps_0.05,overlap_at_eps_0.05,recall_at_eps_0.1,overlap_at_eps_0.1,recall_at_eps_0.25,overlap_at_eps_0.25,Dataset
Non-Contiguous Random,68,3,10,7-12,8,6,0.07351321793566268,7.5782,27.2901,3.6,50,1,0.2,1,0.0993,1,0.0319,xenium_human_breast_cancer_seed4
Contiguous Random,69,1,8,7-12,11,2,0.020489049748626198,13.1177,37.7487,2.88,50,1,0.3191,1,0.0937,1,0.0329,xenium_human_breast_cancer_seed4
Non-Contiguous Random,69,1,8,7-12,11,2,0.18022137286973228,9.8868,35.9662,3.64,50,1,0.25,1,0.0833,1,0.0346,xenium_human_breast_cancer_seed4
Contiguous Random,70,3,5,7-12,12,1,1.3613489613373275e-06,9.8315,35.7102,3.63,50,1,0.6667,1,0.6667,1,0.6667,xenium_human_breast_cancer_seed4
Non-Contiguous Random,70,3,5,7-12,12,1,3.734156595491811e-06,9.5626,36.7443,3.84,50,1,1.0,1,1.0,1,0.8571,xenium_human_breast_cancer_seed4
Contiguous Random,71,3,16,7-12,7,1,4.19278339519602e-06,6.6631,26.0655,3.91,50,1,0.4706,1,0.229,1,0.0793,xenium_human_breast_cancer_seed4
Non-Contiguous Random,71,3,16,7-12,7,6,0.12202583023276165,7.353,26.1597,3.56,50,1,0.2778,1,0.2717,1,0.0903,xenium_human_breast_cancer_seed4
Contiguous Random,72,0,9,7-12,12,1,4.213343993697549e-07,9.6877,39.4957,4.08,50,1,0.4211,1,0.3083,1,0.2841,xenium_human_breast_cancer_seed4
Non-Contiguous Random,72,0,9,7-12,12,3,0.010040977289202613,8.2529,40.2257,4.87,50,1,0.3774,1,0.3381,1,0.3086,xenium_human_breast_cancer_seed4
Contiguous Random,73,0,0,7-12,11,1,3.6687807081214885e-06,6.8067,24.8076,3.64,50,1,1.0,1,1.0,1,1.0,xenium_human_breast_cancer_seed4
Non-Contiguous Random,73,0,0,7-12,11,1,1.850042385953543e-07,6.2499,24.2487,3.88,50,1,1.0,1,1.0,1,1.0,xenium_human_breast_cancer_seed4
Contiguous Random,74,0,4,7-12,12,1,-3.0546064417880103e-06,10.4377,36.0351,3.45,50,1,1.0,1,1.0,1,1.0,xenium_human_breast_cancer_seed4
Non-Contiguous Random,74,0,4,7-12,12,1,4.038445059473261e-06,10.7498,36.6239,3.41,50,1,1.0,1,1.0,1,1.0,xenium_human_breast_cancer_seed4
