Case,Tile,Niche,Block_Index,Length_Bin,Query_Length,rank,dist_gap,spindle_time_ms,brute_force_time_ms,speedup,retrieved,recall_at_eps_0.05,overlap_at_eps_0.05,recall_at_eps_0.1,overlap_at_eps_0.1,recall_at_eps_0.25,overlap_at_eps_0.25,Dataset
Contiguous Random,62,0,13,7-12,9,2,0.09925326662699385,7.9069,37.126,4.7,50,1,0.4286,1,0.5,1,0.3261,xenium_human_pancreatic_cancer_seed1
Non-Contiguous Random,62,0,13,7-12,9,1,4.081904093400368e-06,9.3069,37.0807,3.98,50,1,1.0,1,1.0,1,1.0,xenium_human_pancreatic_cancer_seed1
Contiguous Random,63,0,26,7-12,8,37,0.16035807340287062,5.6127,34.528,6.15,50,1,0.0105,1,0.0205,1,0.0267,xenium_human_pancreatic_cancer_seed1
Non-Contiguous Random,63,0,26,7-12,8,11,0.06179961275874751,5.9203,33.6711,5.69,50,1,0.0197,1,0.032,1,0.0257,xenium_human_pancreatic_cancer_seed1
Contiguous Random,64,3,26,7-12,9,1,-2.0638275146644958e-06,6.7867,38.9585,5.74,50,1,1.0,1,1.0,1,0.9697,xenium_human_pancreatic_cancer_seed1
Non-Contiguous Random,64,3,26,7-12,9,1,-1.134541829483915e-06,8.619,38.4348,4.46,50,1,1.0,1,1.0,1,1.0,xenium_human_pancreatic_cancer_seed1
Contiguous Random,65,0,6,7-12,8,1,-7.729238855613829e-07,6.4976,29.2661,4.5,50,1,1.0,1,1.0,1,1.0,xenium_human_pancreatic_cancer_seed1
Non-Contiguous Random,65,0,6,7-12,8,1,4.693753175244453e-06,6.9518,28.3321,4.08,50,1,1.0,1,1.0,1,1.0,xenium_human_pancreatic_cancer_seed1
Contiguous Random,66,3,24,7-12,10,143,0.16745510298264127,7.7079,43.1185,5.59,50,1,0.019,1,0.0245,1,0.0243,xenium_human_pancreatic_cancer_seed1
Non-Contiguous Random,66,3,24,7-12,10,37,0.10542781109751409,7.3529,42.7507,5.81,50,1,0.0183,1,0.0268,1,0.0243,xenium_human_pancreatic_cancer_seed1
Contiguous Random,67,3,22,7-12,7,10,0.15904539158869135,5.5166,31.0718,5.63,50,1,0.1667,1,0.1495,1,0.0362,xenium_human_pancreatic_cancer_seed1
Non-Contiguous Random,67,3,22,7-12,7,44,0.24606698474141353,6.9538,31.0982,4.47,50,0,0.0,1,0.0591,1,0.0323,xenium_human_pancreatic_cancer_seed1
Contiguous Random,68,0,17,7-12,11,2,0.02062155244663577,12.3311,46.5354,3.77,50,1,0.5185,1,0.2342,1,0.1587,xenium_human_pancreatic_cancer_seed1
Non-Contiguous Random,68,0,17,7-12,11,1,-4.1479244402564674e-06,13.3366,46.3682,3.48,50,1,0.5,1,0.235,1,0.1553,xenium_human_pancreatic_cancer_seed1
Contiguous Random,69,0,22,7-12,7,1,4.117326586006165e-06,7.3691,31.4722,4.27,50,1,0.375,1,0.1867,1,0.05,xenium_human_pancreatic_cancer_seed1
Non-Contiguous Random,69,0,22,7-12,7,1,4.117326586006165e-06,7.1207,31.1076,4.37,50,1,0.375,1,0.1867,1,0.05,xenium_human_pancreatic_cancer_seed1
Contiguous Random,70,3,8,7-12,10,1,1.962509172948046e-07,7.4372,37.7243,5.07,50,1,1.0,1,1.0,1,1.0,xenium_human_pancreatic_cancer_seed1
Non-Contiguous Random,70,3,8,7-12,10,1,-2.927630434079731e-06,7.4365,36.8153,4.95,50,1,1.0,1,1.0,1,1.0,xenium_human_pancreatic_cancer_seed1
Contiguous Random,71,2,1,7-12,12,1,-8.393742799706061e-07,9.5902,36.0091,3.75,50,1,1.0,1,1.0,1,0.9091,xenium_human_pancreatic_cancer_seed1
Non-Contiguous Random,71,2,1,7-12,12,1,-4.479831619441654e-06,9.0467,36.8089,4.07,50,1,1.0,1,1.0,1,1.0,xenium_human_pancreatic_cancer_seed1
